station_id,name,latitude,longitude,n_connectors
0LOMCT8REG02BGKLPPGP,ES*REP*E16854*1,36.735348,-3.686408,2
RQA3QRDYNINA3KJ48IGC,ES*REP*E16861*1,42.17173,2.478712,3
AAPMKUPYWIYYGKV4L6WZ,ES*REP*E16866*1,41.178364,1.488765,3
YZGEKDZMZP4M3YDGLJWW,ES*REP*E16873*1,36.532104,-6.199436,2
ZPAMETFGYLTRECGNYF57,ES*REP*E16869*2,40.64947,-4.677486,2
MLU8XR2FXHX5F8FVUY7X,ES*REP*E16877*1,37.34688,-6.062226,2
6UOOUGLBTAAS0OR8ADDX,ES*REP*E16881*1,40.44396,-3.615541,2
VWG0JDH2IKTFKURTZIX7,ES*REP*E16882*2,41.621307,0.637956,2
9TBTNVU2279D9CHXQDXF,ES*REP*E16883*1,41.54003,-0.996078,3
8I9XCZ0GZISD6M5SWTGD,ES*REP*E16901*1,40.95487,-5.674639,3
EAFC790EZEI1KHQTUDXW,ES*REP*E16899*1,41.25931,-3.591229,3
28BCH08ZSGCTJRCBAGOB,ES*REP*E16894*1,38.50673,-3.496652,3
F99BIIBOETIHQTKJID4B,ES*REP*E16898*1,42.85553,-2.674149,2
5KI08BKJGCBRSJGS1C8E,ES*REP*E16907*1,42.1483,-0.391504,2
STETKIBUYXMGGGRL2LBR,ES*REP*E16903*1,41.495052,2.191752,3
XWSDHNUAP7DUAEO3UMRA,ES*REP*E16908*1,39.286087,-6.320399,3
Z3TWPG9SYNWS0JJNVEIX,ES*REP*E16910*1,41.856663,-0.793702,3
DFCYXZUEVQUHF22DP23U,ES*REP*E16921*1,43.29148,-2.96038,3
PMWHUXLSTBPIPIY24BEC,ES*REP*E16912*1,39.484467,-0.383431,2
A7OKOJKMESL7B2DPRV5V,ES*REP*E16924*1,40.370903,0.403453,2
UMFX0GRSW9IWSQILF51R,ES*REP*E16330*1,37.207287,-7.32445,3
HXRG5DXTNNIHCXRTFPRA,ES*REP*E16923*2,40.33568,0.369363,2
SWXGRVDIAXTNVBD27MDA,ES*REP*E16926*2,38.995365,-1.861372,2
SLFLYA3MGEVUASJNPHNS,ES*REP*E16937*1,43.2288,-2.753252,3
6QWRD9HUELFAPVIG3ZPN,ES*REP*E16936*1,40.357143,-1.136348,3
CO9FTXNLQHTMBWBLAOAY,ES*REP*E16935*1,40.459476,-3.681458,3
JBJHUOBBFMEN5MEWRTVL,ES*REP*E16941*1,40.424397,-3.611191,3
GQTGLA3UFCCSLUUC66MW,ES*REP*E16952*2,39.975,-0.048613,2
VENCN6A0GUSZNNXKNXSK,ES*REP*E16975*2,36.98943,-5.938007,2
GMWN83WVJOENF3O3N1MA,ES*REP*E16971*1,40.40786,-3.634714,4
TEG5ZGGKAY2I7CFXY1AH,ES*REP*E16967*2,43.389446,-5.661968,2
VQJBPZICK1SXG7DE1JMG,ES*REP*E16974*1,42.869385,-8.558265,2
T5GISQFQJM8EZXHJLOIU,ES*REP*E16973*1,41.09367,0.647901,3
UPRPMAYNLASF6DW8VH8A,ES*REP*E17002*1,39.558945,-0.505366,3
PTDN4T7B0XAAMBCXBU6X,ES*REP*E16976*2,39.488525,-0.374436,2
JJERGOW7FSJJWL1FJOD1,ES*REP*E17027*1,41.46682,2.025811,3
SZAJQ2HV6UVDVSOMMTGA,ES*REP*E17028*1,42.34085,-3.766363,3
DHBMU5F36GWBZNLCZX39,ES*REP*E17039*1,42.690834,-5.767766,3
QAP1I2CNAWZCATIOIIFG,ES*REP*E17042*2,40.386135,-3.69083,2
S9CUQAPYVU3XXQLW3LAW,ES*REP*E17043*1,43.484028,-5.430796,3
T0RDUMKWX0K33HOQ4KWZ,ES*REP*E17045*1,40.475346,-3.647625,2
Y1CW0TTHLIUNKKRRVRBU,ES*REP*E17057*1,40.43047,-3.640806,3
A4U6UKFINSQK0FQKDNXT,ES*REP*E17493*1,41.585583,2.326694,3
BDD5XPGQ9VWCGUNR6BQR,ES*REP*E17059*1,41.0526,-0.152782,3
ERKZG51TUPVRK4XRSUAR,ES*REP*E17060*1,42.93182,-7.634305,3
O2CBVV2TVUHPCPHGLYBW,ES*REP*E17061*1,43.54616,-5.905303,3
MIN8NCQXLSZ9YPRUXPQP,ES*REP*E17062*1,40.389664,-5.750808,5
WFSOVX5QXC0CKLPQDO36,ES*REP*E11949*1,37.348347,-6.423251,3
65STLFBMSJDNWC7BBSYS,ES*REP*E11950*1,37.34687,-6.423124,3
XH0OKXHICF2IFH6C8ZF5,ES*REP*E17066*2,37.665596,-4.722457,2
RP8LBPKSMBTVCX2LX8RI,ES*REP*E17067*2,43.56156,-5.972547,2
FOPDWWH1AL71VEAK4I9H,ES*REP*E13819*2,37.91684,-6.82365,6
DCW2NI8EO88IRJOZCXSE,ES*REP*E13248*1,37.386017,-6.556207,4
ABWZQKIJUK931JK5BTBR,ES*REP*E14358*1,37.27926,-6.930176,6
2YNVNCNXAPRK0ZANUDTU,ES*REP*E17084*2,38.924553,-0.123451,2
OA2EDPF9BJKUNHPWEBPK,ES*REP*E17085*1,40.3611,0.397205,3
9W3Q9MCOA1EZXAA61EXG,ES*REP*E17079*2,42.53897,-5.57427,2
IMQNZBRCE0MXHRALHERW,ES*REP*E17093*1,41.594925,2.285438,3
87HUI8HVMZ3PM47EOBNX,ES*REP*E17096*2,41.612,-4.112466,2
WZR7ONOD90YYTCS3AWL5,ES*REP*E17111*1,43.36556,-5.873323,3
4W6JNPOI7RKUR52OMES0,ES*REP*E17099*2,40.39175,-3.741291,2
SIF7P3KVHANONYECDV98,ES*REP*E17125*1,40.56033,-3.620022,3
E8B0YYIIMBSAPV3KXIXM,ES*REP*E17175*2,36.782204,-4.108217,2
3YSS3ZCZFMP1RQI6UFAF,ES*REP*E17126*2,39.480495,-7.006085,3
OTVYNVJGKYBGAJOVEHHM,ES*REP*E17138*1,39.991467,-0.064549,2
XZTYO3Q6F4RMHLLQOWR5,ES*REP*E17050*1,42.266582,2.981707,3
6WRVRAJCMW9XXUHGGLPI,ES*REP*E17162*1,36.737015,-4.101814,3
LEWZGBBLINPM3H3M4MNQ,ES*REP*E17147*1,40.38402,0.406788,4
E4QKZWKFD2FGOR1WTAL7,ES*REP*E17156*2,37.6435,-4.73772,2
BSXCAS7QCRAJWMICCY5L,ES*REP*E17166*1,38.704845,-4.100161,3
ZEJS8HRNYQOB8RIU2F2R,ES*REP*E17150*1,43.437935,-5.79856,3
9JYTRDAIXFRKPWVUTK3E,ES*REP*E17151*1,37.409023,-5.941963,2
IKXVR3N6PJGALVFRGMOW,ES*REP*E17178*1,38.77,0.14772,4
UPAQWH8NVHENMVGUZHTN,ES*REP*E17180*1,37.54196,-5.073383,3
EVNAKMD7THKFV0JL1REH,ES*REP*E17194*2,42.43967,-8.641998,2
S9ZMHLPIL6LT6TYWTLEE,ES*REP*E17182*1,43.35718,-8.424609,3
SODZMOVWGYAVK9Z90HUF,ES*REP*E17195*1,43.52097,-5.668889,3
BRXB6DXCXR0EUQQQNOEE,ES*REP*E17199*1,42.70354,0.794504,4
MYGHKSIZRLEGALX5GSI7,ES*REP*E17202*1,36.956276,-2.127844,3
ZGRTLCRQMQQSXNPIFR1U,ES*REP*E17217*1,39.87046,-3.477679,3
VMFSY1DZKEOKTAW08YOM,ES*REP*E17227*1,37.161144,-3.596503,2
LLZ4DMIH28SEBHGZLRW6,ES*REP*E17251*1,39.48121,-0.459635,3
LBD1E9FLVJJXD9MJNSRZ,ES*REP*E17248*2,40.284454,-3.809815,2
FWC7LXA30BMTATCUSS4Z,ES*REP*E17263*1,43.262318,-2.94737,2
XNU2EGLK6M4EXX60L7AI,ES*REP*E17273*1,40.44824,-3.668429,2
94K5RCVPEMTHUXC7CCQH,ES*REP*E17262*1,43.383472,-3.858519,2
AJ7N2NTBMD2UBQ61AN65,ES*REP*E17269*2,39.433357,-0.469595,2
AHMAIA7U3FMBTQ7K7AKQ,ES*REP*E17277*1,41.996254,-6.025719,3
6Z26CCANMR9QBPDYTKBE,ES*REP*E17279*1,39.45631,-5.883288,3
DMFWWZBIEWWIVRVVV2WP,ES*REP*E17281*1,40.148884,-0.823395,3
3RARWLKUUEX3KEQTAMON,ES*REP*E17285*1,41.780006,-3.695843,3
LHJDLB9UEXMMPNFZRGD2,ES*REP*E17280*1,43.340397,-8.457657,3
CPCFO7XWRD5CKW9MGVSP,ES*REP*E17282*2,38.336933,-3.545228,3
9NGW5ZVEHZFDBQOMDPE1,ES*REP*E17301*1,37.256336,-6.941628,3
PENZJ8IKYRQ684BKII7C,ES*REP*E17307*2,39.032806,-1.891447,7
WKKRPNVOWSDC8NFRNWNA,ES*REP*E17305*1,40.556664,-3.626848,2
S3LYU0JPMGBSACA4V5KK,ES*REP*E17313*1,43.39413,-3.459625,3
QL7RGBQHHWSPHLVH2QCT,ES*REP*E17322*1,42.840054,-1.676699,3
EQ6B9UCGWF73ADKSEDM7,ES*REP*E17317*1,43.328358,-4.190896,6
2GQFLZOLQ9MB5IQPPPXA,ES*REP*E17323*2,37.637203,-1.00038,4
EB9BI8EHMS9VNBYEFZ27,ES*REP*E17330*2,41.363747,2.11023,2
HXAG5GALOYASEJ6VHWRY,ES*REP*E17345*2,41.49064,2.022104,4
KF70MYUITROYPB5LTFXB,ES*REP*E17358*1,42.364117,-3.621746,3
BZYZYOJ4BXVF2WBOXR6O,ES*REP*E17351*1,42.10263,-8.569518,3
M67KN5ZTUWSAHSYK3ZEJ,ES*REP*E17354*1,42.617085,-5.602002,3
ZNXCNFAREAKPJHZ5IRIC,ES*REP*E17370*1,40.259354,-3.761557,3
J6GCFYC7ZYWDZBLGPE93,ES*REP*E17385*1,38.35195,-0.498416,2
AGTRTMSWD2PJAKFLQDOR,ES*REP*E17396*1,41.160065,1.115367,2
FB6KJZQ4LNV1EIMBIQWW,ES*REP*E17417*2,38.34438,-0.508457,2
BKAQ8W5480Y24J3NZHV0,ES*REP*E17403*1,36.702198,-6.084673,3
MMQIFXEEXO6R3BITLHOD,ES*REP*E17411*2,37.62169,-0.883834,4
ISWTT2BAZQYWTPUVQA4G,ES*REP*E17427*1,38.193504,-3.672057,2
VDAM2KUMNKRPQCS7S7AX,ES*REP*E17419*1,38.25681,-0.747799,3
HAN4QK3BZUW8MXQALCZD,ES*REP*E17430*1,41.118668,1.270143,4
P36UWZVHEVBYQHHEFSIL,ES*REP*E17442*1,41.350178,1.704178,2
XVOHNKJGJP0JTMCGZ7XL,ES*REP*E17444*2,42.834106,-2.658958,2
8GOV9P1SETBTNTPUQD4G,ES*REP*E17449*2,40.46604,-3.653813,2
VILCHYVYCTTTERFCSJPX,ES*REP*E17480*2,40.464634,-3.44586,2
BKE0X1EYKODVXB4VKOAZ,ES*REP*E17521*1,41.647583,-0.877533,3
MRRP4P1MWRCJKG0MQDM7,ES*REP*E17516*1,43.39003,-3.68275,3
UG2OGY54H0K8TBMUGCLJ,ES*REP*E17481*1,41.982536,2.811099,2
XNAZJK9L9JNTZ6YIISMG,ES*REP*E17553*1,41.121773,1.239176,2
ZQD8PVDQRIADSCTOQONK,ES*REP*E17490*1,42.017097,-4.346335,3
ZDSID79UOA689DFF9PI9,ES*REP*E17557*1,43.247917,-2.907697,2
N0WDLOR8VLUOS30W0K6Z,ES*REP*E17502*1,40.40769,-3.659906,3
WVVBEKMQUMXNR7V31KSS,ES*REP*E17528*1,43.511272,-5.817303,3
P8RJ6RZ2OAXS1WBWSEGS,ES*REP*E17547*1,41.114655,1.241484,2
LXOPR8YMGBMFIAETNHH7,ES*REP*E17491*1,40.748188,-3.032742,3
7OMKF0BKPSTTXRJPTRSN,ES*REP*E17550*1,37.14167,-3.641171,4
EEUNTGPPQXVVFKNN9TOJ,ES*REP*E17568*1,39.95455,-0.057837,4
NLL47NUNI1FJRPD6D8MB,ES*REP*E17591*1,40.63328,-4.108147,3
KPHEZRMSBGFPJDA07XE4,ES*REP*E17578*1,37.67326,-1.696004,2
RIZKRQAHWAUMGCAKXHXO,ES*REP*E17593*1,40.9901,-5.687609,3
S7MHC4CNC5GMIAI2IFFV,ES*REP*E17594*1,40.25972,-3.820697,2
QM2P2N8J5Y4JN7YMTPCC,ES*REP*E17600*1,42.527103,-7.522202,2
CFISARX6BLE8ZWFRDUNJ,ES*REP*E17601*1,37.694344,-6.6044,3
RTT36MNOXCNFZBQKES2U,ES*REP*E17602*1,37.27993,-6.834644,2
V7O4CDS1JYTVCA7XJ1PC,ES*REP*E17595*1,41.21446,-0.468551,3
P5NYIUHPAWXY1O3IVZVZ,ES*REP*E17616*1,39.88855,-5.467399,2
HHH2JTTFE71P3LCZGN7U,ES*REP*E17609*1,37.90762,-4.607956,3
NC6RDGQ5GJLTCPIHHJG1,ES*REP*E17615*1,41.2983,1.258475,6
Q2FVIPP7DLZ77SH4VCJ2,ES*REP*E17617*1,42.69129,-5.770646,3
DHRVEIHCCOVWOIMA8L4D,ES*REP*E17643*1,41.58709,-3.058162,3
IQSNPHCRSEYXGXGPBTGP,ES*REP*E17645*1,38.00324,-1.135498,4
IR6MAPTAL5JLAKOYUDPN,ES*REP*E17702*1,37.213154,-3.636796,3
NLTLGWJBGIYGS0JCFIEQ,ES*REP*E17689*1,37.98478,-4.282966,3
TPGKNPJQI3D21JVKTHTG,ES*REP*E17715*1,40.422066,-3.694855,14
D0PY1CM0MR5RRAMSBTSD,ES*REP*E17762*1,40.479477,-3.686818,2
VYPWDSDOLSJCR07I4GJD,ES*REP*E17754*1,41.60892,-4.709303,2
2AUEYIFJGUACHZFOFLKZ,ES*REP*E17766*1,38.973827,-3.336978,2
QNVS0JQJ9WJRWFH58XQC,ES*REP*E17793*1,43.35342,-8.407473,3
LDGWV3BRXKPXSSTYPTWU,ES*REP*E17790*1,39.88293,-4.032602,4
HO6BMUL2CUXRYJQ8ZBZH,ES*REP*E17802*2,43.36073,-3.005596,2
